pollution_id,city,timestamp,pm25,pm10,no2,so2,co,o3,aqi_value,data_source,temperature,humidity,wind_speed,atmospheric_pressure,precipitation,cloudiness,created_at,date,time,hour,day_of_week
60,Agra,2025-11-06 07:31:10.249836,55.02,82.82,4.08,2.38,421.29,72.43,4,OpenWeather,20.26,46.0,1.76,,,0.0,2025-11-06 07:31:10.250229,2025-11-06,07:31:10.249836,7,Thursday
56,Agra,2025-11-06 07:31:08.762116,,,,,,,160,IQAir,20.26,46.0,1.76,,,0.0,2025-11-06 07:31:08.871356,2025-11-06,07:31:08.762116,7,Thursday
34,Agra,2025-11-04 20:06:10.313648,35.6,40.87,8.56,2.79,421.01,52.79,3,OpenWeather,22.26,46.0,1.37,,,12.0,2025-11-04 20:06:10.318128,2025-11-04,20:06:10.313648,20,Tuesday
61,Ahmedabad,2025-11-06 07:31:10.269583,47.1,82.73,7.73,1.13,362.22,22.87,3,OpenWeather,20.02,94.0,0.0,,,6.0,2025-11-06 07:31:10.270128,2025-11-06,07:31:10.269583,7,Thursday
57,Ahmedabad,2025-11-06 07:31:08.762116,,,,,,,124,IQAir,20.02,94.0,0.0,,,6.0,2025-11-06 07:31:08.902803,2025-11-06,07:31:08.762116,7,Thursday
21,Ahmedabad,2025-11-04 20:06:06.966125,41.24,87.42,8.07,1.72,227.69,63.27,3,OpenWeather,25.02,69.0,0.0,,,20.0,2025-11-04 20:06:06.969137,2025-11-04,20:06:06.966125,20,Tuesday
21,Ahmedabad,2025-11-04 20:06:06.966125,41.24,87.42,8.07,1.72,227.69,63.27,3,OpenWeather,25.02,69.0,0.0,,,20.0,2025-11-04 20:06:06.969137,2025-11-04,20:06:06.966125,20,Tuesday
13,Ahmedabad,2025-11-04 20:06:05.433702,41.24,87.42,8.07,1.72,227.69,63.27,3,OpenWeather,25.02,69.0,0.0,,,20.0,2025-11-04 20:06:05.439392,2025-11-04,20:06:05.433702,20,Tuesday
13,Ahmedabad,2025-11-04 20:06:05.433702,41.24,87.42,8.07,1.72,227.69,63.27,3,OpenWeather,25.02,69.0,0.0,,,20.0,2025-11-04 20:06:05.439392,2025-11-04,20:06:05.433702,20,Tuesday
63,Aligarh,2025-11-06 07:31:11.219426,58.47,77.78,5.28,3.66,493.57,83.25,4,OpenWeather,19.29,46.0,2.49,,,0.0,2025-11-06 07:31:11.224384,2025-11-06,07:31:11.219426,7,Thursday
58,Aligarh,2025-11-06 07:31:10.005394,,,,,,,167,IQAir,19.29,46.0,2.49,,,0.0,2025-11-06 07:31:10.006772,2025-11-06,07:31:10.005394,7,Thursday
64,Allahabad,2025-11-06 07:31:11.246289,47.15,60.82,5.25,2.33,419.12,50.36,3,OpenWeather,22.24,67.0,2.1,,,0.0,2025-11-06 07:31:11.248536,2025-11-06,07:31:11.246289,7,Thursday
59,Allahabad,2025-11-06 07:31:10.011715,,,,,,,137,IQAir,22.24,67.0,2.1,,,0.0,2025-11-06 07:31:10.025918,2025-11-06,07:31:10.011715,7,Thursday
68,Alwar,2025-11-06 07:31:12.778298,64.35,93.33,5.69,4.85,448.58,94.39,4,OpenWeather,18.77,52.0,1.75,,,0.0,2025-11-06 07:31:12.791325,2025-11-06,07:31:12.778298,7,Thursday
65,Amritsar,2025-11-06 07:31:11.628413,42.36,66.89,14.61,2.96,676.41,47.43,3,OpenWeather,10.97,76.0,1.03,,,20.0,2025-11-06 07:31:11.637199,2025-11-06,07:31:11.628413,7,Thursday
62,Amritsar,2025-11-06 07:31:10.517723,,,,,,,155,IQAir,10.97,76.0,1.03,,,20.0,2025-11-06 07:31:10.527226,2025-11-06,07:31:10.517723,7,Thursday
38,Amritsar,2025-11-04 20:06:11.143289,70.42,139.89,14.57,5.16,516.87,74.49,4,OpenWeather,22.97,46.0,2.57,,,40.0,2025-11-04 20:06:11.144531,2025-11-04,20:06:11.143289,20,Tuesday
67,Aurangabad,2025-11-06 07:31:12.627714,39.81,55.68,6.95,1.48,344.61,26.49,3,OpenWeather,18.05,88.0,0.0,,,87.0,2025-11-06 07:31:12.642750,2025-11-06,07:31:12.627714,7,Thursday
39,Aurangabad,2025-11-04 20:06:11.157166,26.67,31.47,7.32,5.99,358.65,76.82,3,OpenWeather,25.05,78.0,0.0,,,20.0,2025-11-04 20:06:11.159392,2025-11-04,20:06:11.157166,20,Tuesday
66,Bangalore,2025-11-06 07:31:12.496452,26.08,34.45,11.36,4.5,415.97,32.06,3,OpenWeather,20.29,89.0,4.92,,,75.0,2025-11-06 07:31:12.497092,2025-11-06,07:31:12.496452,7,Thursday
16,Bangalore,2025-11-04 20:06:06.196491,14.93,21.82,15.67,4.15,348.45,57.11,2,OpenWeather,23.11,82.0,2.24,,,40.0,2025-11-04 20:06:06.198694,2025-11-04,20:06:06.196491,20,Tuesday
16,Bangalore,2025-11-04 20:06:06.196491,14.93,21.82,15.67,4.15,348.45,57.11,2,OpenWeather,23.11,82.0,2.24,,,40.0,2025-11-04 20:06:06.198694,2025-11-04,20:06:06.196491,20,Tuesday
6,Bangalore,2025-11-04 20:06:03.980404,14.93,21.82,15.67,4.15,348.45,57.11,2,OpenWeather,23.11,82.0,2.24,,,40.0,2025-11-04 20:06:03.988395,2025-11-04,20:06:03.980404,20,Tuesday
6,Bangalore,2025-11-04 20:06:03.980404,14.93,21.82,15.67,4.15,348.45,57.11,2,OpenWeather,23.11,82.0,2.24,,,40.0,2025-11-04 20:06:03.988395,2025-11-04,20:06:03.980404,20,Tuesday
2,Bangalore,2025-11-04 20:06:02.952196,,,,,,,82,IQAir,23.11,82.0,2.24,,,40.0,2025-11-04 20:06:02.957959,2025-11-04,20:06:02.952196,20,Tuesday
