city,timestamp,aqi_value,pm25,pm10,no2,so2,co,o3,data_source,created_at
Kolkata,2025-11-06 07:31:24.782756,5,97.53,128.25,7.72,6.12,567.61,79.52,OpenWeather,2025-11-06 07:31:24.784164
Dhanbad,2025-11-06 07:31:19.211438,5,88.13,121.79,6.75,2.81,457.12,18.43,OpenWeather,2025-11-06 07:31:19.212448
Ranchi,2025-11-06 07:31:31.434497,5,85.01,111.71,9.49,7.67,446.08,19.81,OpenWeather,2025-11-06 07:31:31.436153
Bareilly,2025-11-06 07:31:14.052127,5,114.62,142.47,15.51,12.79,822.77,47.39,OpenWeather,2025-11-06 07:31:14.054195
Patna,2025-11-06 07:31:29.869566,5,91.3,121.74,4.48,2.72,490.67,30.78,OpenWeather,2025-11-06 07:31:29.871761
Howrah,2025-11-06 07:31:22.482271,5,97.53,128.25,7.72,6.12,567.61,79.52,OpenWeather,2025-11-06 07:31:22.486903
Nashik,2025-11-06 07:31:28.727742,5,91.94,138.74,17.33,12.15,669.04,27.56,OpenWeather,2025-11-06 07:31:28.739387
Bhubaneswar,2025-11-06 07:31:16.644669,5,76.89,85.75,2.25,6.14,307.61,111.21,OpenWeather,2025-11-06 07:31:16.645383
Moradabad,2025-11-06 07:31:27.695761,4,58.8,76.35,18.69,16.1,627.88,61.79,OpenWeather,2025-11-06 07:31:27.700288
Jodhpur,2025-11-06 07:31:23.762540,4,55.5,104.7,16.08,1.62,444.92,28.32,OpenWeather,2025-11-06 07:31:23.763647
Kanpur,2025-11-06 07:31:24.464070,4,57.16,86.68,6.11,1.19,463.33,33.22,OpenWeather,2025-11-06 07:31:24.469255
Lucknow,2025-11-06 07:31:25.761354,4,74.17,101.58,7.53,1.47,563.71,32.71,OpenWeather,2025-11-06 07:31:25.776260
Mathura,2025-11-06 07:31:26.966955,4,62.03,86.77,5.81,2.79,471.29,75.76,OpenWeather,2025-11-06 07:31:26.967718
Meerut,2025-11-06 07:31:27.643529,4,53.36,71.01,9.11,7.57,502.43,81.02,OpenWeather,2025-11-06 07:31:27.650203
Noida,2025-11-06 07:31:29.029340,4,54.28,77.05,6.3,5.78,444.6,86.06,OpenWeather,2025-11-06 07:31:29.034334
Pimpri-Chinchwad,2025-11-06 07:31:31.110489,4,60.11,96.44,3.77,1.52,252.24,35.65,OpenWeather,2025-11-06 07:31:31.111809
Pune,2025-11-06 07:31:30.453585,4,53.79,87.09,3.29,1.26,228.22,45.38,OpenWeather,2025-11-06 07:31:30.456922
Rajkot,2025-11-06 07:31:31.258695,4,52.32,92.75,4.94,0.91,282.52,35.6,OpenWeather,2025-11-06 07:31:31.259208
