id,city,timestamp,date,time,hour,day_of_week,aqi_value,pm25,pm10,no2,so2,co,o3,data_source,created_at
60,Agra,2025-11-06 07:31:10.249836,2025-11-06,07:31:10.249836,7,Thursday,4,55.02,82.82,4.08,2.38,421.29,72.43,OpenWeather,2025-11-06 07:31:10.250229
56,Agra,2025-11-06 07:31:08.762116,2025-11-06,07:31:08.762116,7,Thursday,160,,,,,,,IQAir,2025-11-06 07:31:08.871356
34,Agra,2025-11-04 20:06:10.313648,2025-11-04,20:06:10.313648,20,Tuesday,3,35.6,40.87,8.56,2.79,421.01,52.79,OpenWeather,2025-11-04 20:06:10.318128
61,Ahmedabad,2025-11-06 07:31:10.269583,2025-11-06,07:31:10.269583,7,Thursday,3,47.1,82.73,7.73,1.13,362.22,22.87,OpenWeather,2025-11-06 07:31:10.270128
57,Ahmedabad,2025-11-06 07:31:08.762116,2025-11-06,07:31:08.762116,7,Thursday,124,,,,,,,IQAir,2025-11-06 07:31:08.902803
21,Ahmedabad,2025-11-04 20:06:06.966125,2025-11-04,20:06:06.966125,20,Tuesday,3,41.24,87.42,8.07,1.72,227.69,63.27,OpenWeather,2025-11-04 20:06:06.969137
13,Ahmedabad,2025-11-04 20:06:05.433702,2025-11-04,20:06:05.433702,20,Tuesday,3,41.24,87.42,8.07,1.72,227.69,63.27,OpenWeather,2025-11-04 20:06:05.439392
63,Aligarh,2025-11-06 07:31:11.219426,2025-11-06,07:31:11.219426,7,Thursday,4,58.47,77.78,5.28,3.66,493.57,83.25,OpenWeather,2025-11-06 07:31:11.224384
58,Aligarh,2025-11-06 07:31:10.005394,2025-11-06,07:31:10.005394,7,Thursday,167,,,,,,,IQAir,2025-11-06 07:31:10.006772
64,Allahabad,2025-11-06 07:31:11.246289,2025-11-06,07:31:11.246289,7,Thursday,3,47.15,60.82,5.25,2.33,419.12,50.36,OpenWeather,2025-11-06 07:31:11.248536
59,Allahabad,2025-11-06 07:31:10.011715,2025-11-06,07:31:10.011715,7,Thursday,137,,,,,,,IQAir,2025-11-06 07:31:10.025918
68,Alwar,2025-11-06 07:31:12.778298,2025-11-06,07:31:12.778298,7,Thursday,4,64.35,93.33,5.69,4.85,448.58,94.39,OpenWeather,2025-11-06 07:31:12.791325
65,Amritsar,2025-11-06 07:31:11.628413,2025-11-06,07:31:11.628413,7,Thursday,3,42.36,66.89,14.61,2.96,676.41,47.43,OpenWeather,2025-11-06 07:31:11.637199
62,Amritsar,2025-11-06 07:31:10.517723,2025-11-06,07:31:10.517723,7,Thursday,155,,,,,,,IQAir,2025-11-06 07:31:10.527226
38,Amritsar,2025-11-04 20:06:11.143289,2025-11-04,20:06:11.143289,20,Tuesday,4,70.42,139.89,14.57,5.16,516.87,74.49,OpenWeather,2025-11-04 20:06:11.144531
67,Aurangabad,2025-11-06 07:31:12.627714,2025-11-06,07:31:12.627714,7,Thursday,3,39.81,55.68,6.95,1.48,344.61,26.49,OpenWeather,2025-11-06 07:31:12.642750
39,Aurangabad,2025-11-04 20:06:11.157166,2025-11-04,20:06:11.157166,20,Tuesday,3,26.67,31.47,7.32,5.99,358.65,76.82,OpenWeather,2025-11-04 20:06:11.159392
66,Bangalore,2025-11-06 07:31:12.496452,2025-11-06,07:31:12.496452,7,Thursday,3,26.08,34.45,11.36,4.5,415.97,32.06,OpenWeather,2025-11-06 07:31:12.497092
16,Bangalore,2025-11-04 20:06:06.196491,2025-11-04,20:06:06.196491,20,Tuesday,2,14.93,21.82,15.67,4.15,348.45,57.11,OpenWeather,2025-11-04 20:06:06.198694
6,Bangalore,2025-11-04 20:06:03.980404,2025-11-04,20:06:03.980404,20,Tuesday,2,14.93,21.82,15.67,4.15,348.45,57.11,OpenWeather,2025-11-04 20:06:03.988395
2,Bangalore,2025-11-04 20:06:02.952196,2025-11-04,20:06:02.952196,20,Tuesday,82,,,,,,,IQAir,2025-11-04 20:06:02.957959
69,Bareilly,2025-11-06 07:31:14.052127,2025-11-06,07:31:14.052127,7,Thursday,5,114.62,142.47,15.51,12.79,822.77,47.39,OpenWeather,2025-11-06 07:31:14.054195
70,Bharatpur,2025-11-06 07:31:14.607101,2025-11-06,07:31:14.607101,7,Thursday,4,61.79,90.72,7.13,2.32,463.75,65.12,OpenWeather,2025-11-06 07:31:14.608454
71,Bhiwadi,2025-11-06 07:31:15.011285,2025-11-06,07:31:15.011285,7,Thursday,4,55.82,80.41,6.05,5.47,436.59,88.32,OpenWeather,2025-11-06 07:31:15.019279
72,Bhiwani,2025-11-06 07:31:15.098780,2025-11-06,07:31:15.098780,7,Thursday,3,48.04,79.67,8.84,3.89,420.19,74.2,OpenWeather,2025-11-06 07:31:15.099197
74,Bhopal,2025-11-06 07:31:16.634670,2025-11-06,07:31:16.634670,7,Thursday,3,42.82,65.47,1.83,2.64,254.31,79.15,OpenWeather,2025-11-06 07:31:16.641048
28,Bhopal,2025-11-04 20:06:08.941799,2025-11-04,20:06:08.941799,20,Tuesday,2,23.38,29.87,3.78,2.28,347.99,38.39,OpenWeather,2025-11-04 20:06:08.942882
75,Bhubaneswar,2025-11-06 07:31:16.644669,2025-11-06,07:31:16.644669,7,Thursday,5,76.89,85.75,2.25,6.14,307.61,111.21,OpenWeather,2025-11-06 07:31:16.645383
53,Bhubaneswar,2025-11-04 20:06:14.700585,2025-11-04,20:06:14.700585,20,Tuesday,4,58.33,64.61,2.95,6.91,284.31,113.11,OpenWeather,2025-11-04 20:06:14.701219
73,Chandigarh,2025-11-06 07:31:16.627502,2025-11-06,07:31:16.627502,7,Thursday,4,51.42,64.6,10.57,4.32,556.88,61.31,OpenWeather,2025-11-06 07:31:16.628711
49,Chandigarh,2025-11-04 20:06:13.797715,2025-11-04,20:06:13.797715,20,Tuesday,4,60.22,86.34,13.22,6.55,461.12,95.43,OpenWeather,2025-11-04 20:06:13.808015
76,Chennai,2025-11-06 07:31:16.650662,2025-11-06,07:31:16.650662,7,Thursday,2,19.07,21.59,6.18,2.16,448.63,38.52,OpenWeather,2025-11-06 07:31:16.656501
